CSP_ID	SCORED_TICKETS	WITHIN_TAT	BREACHED	KAPTURE_FIRST_ANY	SYNC_LOSS	UNFAIR_BREACH
a0a7b1	42	38	4	2	0	0
a0a7b7	41	37	4	0	0	0
a0b6w1	41	40	1	2	0	0
a0c0h6	41	38	3	1	0	0
a0b6i4	41	38	3	1	0	0
a0b6s2	41	22	17	6	0	0
a0b6c7	41	38	3	0	0	0
a0b5o5	41	12	25	18	1	0
a0c0c7	40	31	9	0	0	0
a0b5x3	40	12	28	0	0	0
a0b6f9	40	35	5	4	0	0
a0b9b7	40	22	17	2	0	0
a0b8w5	40	32	8	0	0	0
a0b8y7	40	37	3	1	0	0
a0b6l6	40	39	1	1	0	0
a0b5z0	39	39	0	1	0	0
a0b7j6	39	24	15	5	0	0
a0b9b2	39	36	3	1	0	0
a0b6g1	39	39	0	1	0	0
a0b6t0	39	37	2	0	0	0
a0b6q9	39	5	21	19	1	0
a0b5t3	39	39	0	1	0	0
a0b0a0	39	19	20	4	0	0
a0b8o4	38	25	13	5	0	0
a0b5v8	38	31	7	2	0	0
a0b6t6	38	18	20	3	0	0
a0b8z0	38	30	8	1	0	0
a0b6w8	38	31	7	2	0	0
a0c0c0	38	38	0	3	1	0
a0b8u2	38	34	4	2	0	0
a0b6t3	38	36	2	2	1	0
a0b6o8	37	0	0	37	1	0
a0b6v0	37	27	10	1	0	0
a0b9v5	37	25	12	0	0	0
a0b9y3	37	33	4	0	0	0
a0b6i8	37	35	2	0	0	0
a0b9r8	37	37	0	1	0	0
a0b5z2	36	19	17	3	0	0
a0b6u4	36	8	26	10	0	0
a0a7c7	36	35	1	0	0	0
a0b8t9	36	19	17	2	0	0
a0b9j5	36	28	8	0	0	0
a0c0g9	36	35	1	0	0	0
a0b6h2	36	0	0	36	3	0
a0b0n9	36	34	2	2	0	0
a0b7g3	36	0	0	36	1	0
a0a6y9	36	32	4	1	0	0
a0b9z6	36	34	2	1	0	0
a0c0c9	35	32	3	1	0	0
a0c0f0	35	15	5	14	2	0
a0b6f8	35	34	1	1	0	0
a0b9l6	35	15	18	7	0	0
a0a7b5	35	34	1	0	0	0
a0b0w0	34	29	5	2	0	0
a0b6d6	34	24	10	2	0	0
a0b9b8	34	32	2	2	0	0
a0b5m6	33	24	9	1	0	0
a0b6i6	33	12	21	2	0	0
a0b6n1	33	16	17	2	0	0
a0b9e0	33	27	6	0	0	0
a0c0g0	33	22	11	2	0	0
a0b9m9	33	13	20	8	0	0
a0b7i2	33	19	14	0	0	0
a0c0c1	33	18	15	0	0	0
a0b9g7	33	15	18	7	0	0
a0b6d3	32	31	1	0	0	0
a0b5q7	32	29	3	1	0	0
a0b8u9	32	29	3	0	0	0
a0b9k2	32	29	3	0	0	0
a0b5t1	32	32	0	0	0	0
a0b9c1	32	31	1	0	0	0
a0b6z6	31	1	0	30	3	0
a0b9k0	31	31	0	0	0	0
a0b9y0	31	31	0	1	1	0
a0b6j5	31	29	2	1	0	0
a0a7g2	31	31	0	0	0	0
a0b7a8	31	17	14	2	0	0
a0b9s7	31	17	14	0	0	0
a0b6w2	31	30	1	1	0	0
a0b6r1	31	22	9	1	0	0
a0c0g7	30	16	14	1	0	0
a0b5s5	30	5	14	16	0	0
a0c0f8	30	27	3	3	0	0
a0b7a9	30	30	0	0	0	0
a0b8o1	30	27	3	0	0	0
a0b5q6	30	24	6	0	0	0
a0b6y2	29	27	2	2	0	0
a0b6i0	29	23	6	2	0	0
a0b6b8	29	29	0	2	0	0
a0b6t7	29	16	13	5	0	0
a0c0g1	29	20	9	1	0	0
a0b7a2	29	28	1	1	0	0
a0b5m3	29	26	3	0	0	0
a0c0a2	29	16	13	1	0	0
a0b5q8	29	27	2	1	0	0
a0c0d5	29	28	1	0	0	0
a0c0i5	29	29	0	1	0	0
a0b3m4	29	29	0	0	0	0
a0b5o9	28	16	12	2	0	0
a0b9s5	28	12	9	11	1	0
a0b5v2	28	7	20	10	0	0
a0c0b5	28	26	2	0	0	0
a0b7a6	28	19	9	0	0	0
a0b9d9	28	25	3	2	0	0
a0b3v1	28	28	0	0	0	0
a0a7d9	28	27	1	0	0	0
a0b6l0	27	20	7	2	0	0
a0b6y8	27	24	3	1	0	0
a0b6k1	27	20	7	0	0	0
a0b9a2	27	17	10	3	0	0
a0b9l8	27	23	4	1	0	0
a0b9v2	27	0	0	27	0	0
a0b8z8	27	13	14	1	0	0
a0b7b5	27	26	1	1	0	0
a0a7g8	27	27	0	0	0	0
a0b6l7	27	26	1	1	0	0
a0b6f7	27	0	0	27	1	0
a0b8s3	27	9	14	13	1	0
a0c0e2	26	23	3	0	0	0
a0b5u8	26	24	2	0	0	0
a0b9o2	26	0	0	26	1	0
a0b6z4	26	12	10	5	0	0
a0c0h3	26	14	12	3	0	0
a0b5y0	26	26	0	0	0	0
a0b9c5	26	26	0	1	0	0
a0b6z9	26	3	9	22	0	0
a0b9o4	26	25	1	0	0	0
a0b6u2	25	25	0	2	0	0
a0b6p5	25	19	6	4	0	0
